time,data
1113,30.698
1114,30.311
1115,29.48
1118,29.28
1119,29.35
1120,29.51
1121,29.5
1122,29.04
1125,28.4
1126,28.415
1127,28.445
1128,28.11
1129,28.01
1132,27.866
1133,27.991
1134,28.01
1135,28.025
1136,27.87
1140,28.241
1141,28.561
1142,28.78
1143,28.78
1146,28.785
1147,28.505
1148,28.575
1149,28.436
1150,28.66
1153,28.895
1154,28.77
1155,28.485
1156,28.545
1157,28.624
1160,28.575
1161,28.68
1162,28.915
1163,29.035
1164,29.295
1167,29.235
1168,29.396
1169,29.565
1170,29.619
1171,29.675
1174,29.55
1175,29.735
1176,29.685
1177,29.92
1178,29.875
1181,29.65
1182,29.7
1183,29.464
1184,29.256
1188,29.2
1189,29.235
1190,29.256
1191,29.62
1192,30.145
1195,30.285
1196,30.3
1197,30.805
1198,30.845
1199,30.73
1202,30.905
1203,31.29
1204,31.331
1205,31.215
1206,31.04
1209,31.055
1210,30.898
1211,30.915
1212,30.967
1213,30.803
1216,30.765
1217,30.325
1218,29.811
1219,29.285
1220,28.57
1223,28.975
1224,28.78
1225,29.21
1226,29.25
1227,29.065
1230,29.03
1231,28.734
1232,28.38
1233,27.38
1234,26.735
1237,26.561
1238,25.86
1239,25.62
1240,25.866
1241,25.82
1245,25.71
1246,26.26
1247,26.705
1248,25.945
1251,25.555
1252,25.18
1253,25.005
1254,25.065
1255,25.35
1258,25.678
1259,26.167
1260,26.395
1261,26.465
1262,26.405
1265,26.366
1266,25.965
1267,25.544
1268,25.23
1269,24.792
1272,24.41
1273,23.72
1274,23.155
1275,23.125
1276,23.315
1280,23.76
1281,24.061
1282,24.505
1283,24.3
1286,24.63
1287,25.135
1288,25.47
1289,25.506
1290,25.201
1293,25.095
1294,25.17
1295,25.36
1296,25.675
1297,25.825
1300,25.98
1301,26.15
1302,26.01
1303,26.08
1304,25.78
1307,26.16
1308,26.18
1309,25.94
1310,25.43
1311,25.366
1314,25.58
1315,25.2
1316,24.77
1317,24.455
1318,24.375
1321,24.43
1322,24.71
1323,24.75
1324,24.53
1325,24.27
1328,24.36
1329,24.065
1330,24.05
1331,23.955
1332,23.905
1335,23.69
1336,23.533
1337,23.785
1338,23.91
1339,24.265
1343,24.03
1344,24.0
1345,24.1
1346,23.915
1349,24.655
1350,25.035
1351,25.108
1352,25.195
1353,25.31
1356,25.355
1357,25.285
1358,24.75
1359,24.47
1360,24.708
1363,24.792
1364,24.739
1365,24.565
1366,24.55
1367,24.575
1370,23.936
1371,24.205
1372,24.375
1373,24.576
1374,24.595
1377,24.665
1378,24.74
1379,25.18
1380,25.26
1381,25.45
1384,25.705
1385,25.186
1386,25.285
1387,25.41
1388,25.449
1391,25.215
1392,25.51
1393,25.92
1394,26.245
1395,26.908
1398,26.915
1399,27.225
1400,27.245
1401,27.275
1402,27.01
1405,26.745
1406,26.88
1407,26.975
1408,26.68
1409,26.37
1412,26.265
1413,25.925
1414,25.735
1415,25.774
1416,25.745
1419,25.69
1420,25.345
1421,25.285
1423,25.275
1426,25.25
1427,25.154
1428,25.805
1429,26.565
1430,26.915
1433,26.885
1434,26.975
1435,27.03
1436,27.18
1437,27.265
1440,27.258
1441,27.465
1442,27.69
1443,27.874
1444,27.912
1447,27.88
1448,27.96
1449,28.099
1450,28.135
1454,28.095
1455,27.991
1456,27.955
1457,27.885
1458,27.855
1461,28.015
1462,28.014
1463,27.95
1464,28.43
1465,28.62
1468,28.241
1469,28.155
1470,28.335
1471,28.26
1472,28.19
1476,28.41
1477,28.465
1478,28.427
1479,28.21
1482,28.2
1483,28.295
1484,28.646
1485,28.811
1486,28.323
1489,27.748
1490,27.897
1491,27.936
1492,27.808
1493,27.735
1496,27.999
1497,28.192
1498,28.08
1499,27.715
1500,27.506
1503,27.218
1504,27.0
1505,27.035
1506,27.09
1507,27.095
1511,26.686
1512,26.561
1513,26.705
1514,26.73
1517,26.635
1518,26.381
1519,26.094
1520,26.23
1521,26.087
1524,25.925
1525,25.84
1526,25.85
1527,25.515
1528,25.545
1531,25.59
1532,25.235
1533,25.005
1534,24.92
1535,24.93
1538,25.255
1539,25.298
1540,25.385
1541,25.705
1542,25.775
1545,25.535
1546,25.415
1547,25.605
1548,25.495
1549,25.506
1552,25.5
1553,25.8
1554,26.065
1555,26.194
1556,26.12
1559,26.085
1560,25.735
1561,25.64
1562,25.42
1563,25.415
1566,25.09
1567,25.075
1568,25.65
1569,25.655
1573,25.585
1574,25.965
1575,26.34
1576,26.585
1577,26.235
1580,25.8
1581,25.705
1582,25.955
1583,25.92
1584,25.97
1587,25.815
1588,25.525
1589,25.505
1590,25.335
1591,25.155
1594,24.765
1595,24.458
1596,24.61
1597,24.783
1598,24.605
1601,24.19
1602,24.175
1603,24.18
1604,24.51
1605,24.72
1609,24.985
1610,24.71
1611,24.355
1612,23.978
1615,23.951
1616,24.075
1617,23.92
1618,23.985
1619,23.863
1622,23.915
1623,24.26
1624,23.87
1625,23.873
1626,24.241
1629,24.32
1630,24.64
1631,24.625
1632,24.535
1633,24.405
1636,24.715
1637,25.55
1638,25.665
1639,25.87
1640,25.975
1644,26.065
1645,26.15
1646,26.63
1647,26.73
1650,26.625
1651,26.545
1652,26.616
1653,26.545
1654,26.625
1657,26.61
1658,27.175
1659,27.17
1660,27.068
1661,27.195
1664,27.585
1665,27.95
1666,27.605
1667,27.505
1668,27.46
1671,27.39
1672,26.89
1673,26.875
1674,26.235
1675,25.825
1678,24.75
1679,25.145
1680,24.575
1681,24.845
1682,25.116
1685,25.375
1686,25.283
1687,25.248
1688,24.62
1689,24.23
1692,24.201
1693,24.375
1694,24.775
1695,24.825
1696,24.881
1699,25.686
1700,25.98
1701,26.445
1702,26.335
1703,25.79
1707,25.355
1708,25.845
1709,26.11
1710,25.87
1713,25.665
1714,25.98
1715,26.335
1716,26.86
1717,27.085
1720,27.006
1721,27.145
1722,26.52
1723,25.18
1724,24.98
1727,25.315
1728,25.665
1729,25.753
1730,25.715
1731,25.045
1734,24.625
1735,24.82
1736,25.655
1737,26.12
1738,26.295
1741,26.76
1742,26.93
1743,27.07
1744,26.97
1745,27.29
1748,27.047
1749,27.125
1750,27.25
1751,27.15
1752,27.155
1755,27.125
1756,26.945
1757,26.811
1758,27.19
1759,27.061
1762,26.693
1763,26.09
1764,26.055
1765,26.385
1766,26.315
1769,26.506
1770,27.085
1771,26.395
1772,26.375
1773,26.745
1776,26.82
1777,26.65
1778,26.27
1779,25.775
1780,25.39
1783,25.12
1784,24.84
1785,24.54
1787,24.34
1790,24.905
1791,24.83
1792,25.476
1793,25.42
1794,25.405
1797,25.741
1798,25.735
1799,25.635
1800,25.44
1801,25.61
1804,25.46
1805,25.756
1806,25.655
1807,25.64
1808,25.835
1811,25.775
1812,25.943
1813,25.885
1814,25.815
1815,25.971
1819,26.0
1820,25.965
1821,25.985
1822,25.98
1826,26.658
1827,27.11
1828,27.53
1829,27.818
1832,27.895
1833,27.885
1834,27.575
1835,27.936
1836,28.09
1840,28.328
1841,28.27
